,compression,elasticity
1e-11,,0.5169914218851767
1e-10,,0.5254098266948133
1e-09,,0.5302979744546904
5e-09,,0.5090252084427316
1e-08,,0.5189392327759514
2e-08,,0.5360711220101091
3e-08,,0.5457751028386668
4e-08,,0.567245374991217
7e-08,,0.6073731147245208
8e-08,,0.6139720565678789
1e-07,,0.6334217619424991
2e-07,,0.6926558213061373
3e-07,,0.7395795487709658
4e-07,,0.7699698960823421
7e-07,,0.8338552918464549
1e-06,,0.871022137035957
3e-06,,0.9468704776535478
1e-05,,0.9822783314831836
0.0001,,0.9981707813983768
0.001,,0.9998483715457885
0.01,,0.9999687458428661
0.1,,1.0000004626003278
